[ 2024-03-11 21:56:45,345 ] 145 root - INFO - Transformation run
[ 2024-03-11 21:56:51,251 ] 38 root - INFO - Creating new features for train
[ 2024-03-11 21:57:38,300 ] 42 root - INFO - New features created
[ 2024-03-11 21:57:38,302 ] 44 root - INFO - Creating new features for test
[ 2024-03-11 21:57:48,793 ] 48 root - INFO - New features created
[ 2024-03-11 21:57:48,793 ] 50 root - INFO - Dropping columns
[ 2024-03-11 21:57:49,034 ] 53 root - INFO - Dropped columns
[ 2024-03-11 21:57:49,034 ] 55 root - INFO - Splitting input and target variables
[ 2024-03-11 21:57:49,132 ] 60 root - INFO - Split successful
[ 2024-03-11 21:57:49,132 ] 107 root - INFO - Creating transform object for training data
[ 2024-03-11 21:57:49,132 ] 73 root - INFO - Encoding training feature ['type']
[ 2024-03-11 21:57:49,132 ] 74 root - INFO - Scaling training features ['step', 'amount', 'dest_balance']
[ 2024-03-11 21:57:49,132 ] 79 root - INFO - Transformations completed
[ 2024-03-11 21:57:50,081 ] 110 root - INFO - Resampling train data
[ 2024-03-11 22:04:36,339 ] 114 root - INFO - Applying transformation on training
[ 2024-03-11 22:04:39,721 ] 118 root - INFO - Creating and applying transform object for test data
[ 2024-03-11 22:04:39,935 ] 121 root - INFO - Saving the transformation objects
[ 2024-03-11 22:04:40,322 ] 152 root - ERROR - Error occurred in run: too many values to unpack (expected 4)
